Product ID;Obraz;Nazwa;Indeks;Kategoria;Cena (netto);Cena (brutto);Ilość;Wyświetlany;Pozycja
4542;https://dobrewina.pl//p4542-skrzyneczka-drewniana-zasuwana-na-1-but05l.jpg;Skrzyneczka drewniana zasuwana na 1 but.0,5l;XSS1SD5;Strona główna;1.230000;1.51;6;0;138
4602;https://dobrewina.pl//p4602-kartonik-nw2-zamykany-czerwony-tweed.jpg;Kartonik NW2 zamykany czerwony tweed;XKS2CZES;Strona główna;19.900000;24.48;26;0;139
4617;https://dobrewina.pl//p4617-kartonik-s2-bordowy-k.jpg;Kartonik S2 bordowy K;XKS2BOR;Strona główna;14.900000;18.33;0;1;140
4630;https://dobrewina.pl/2026/p4630-kartonik-nw3-zamykany-czarny-s.jpg;Kartonik NW3 Zamykany Czerwony maziak;XKZ3CZAS;Strona główna;24.308943;29.9;33;0;141
5184;https://dobrewina.pl/1803/p5184-villa-saletta-riccardi-igt-toscana-rosso-2016.jpg;Villa Saletta Riccardi IGT Toscana Rosso 2016;CTO0004;Wino czerwone;161.788618;199;0;1;1
5185;https://dobrewina.pl/1805/p5185-villa-saletta-giulia-igt-toscana-rosso-2016.jpg;Villa Saletta Giulia IGT Toscana Rosso 2016;CTO0003;Wino czerwone;161.788618;199;0;1;2
5191;https://dobrewina.pl/1812/p5191-jaffelin-chorey-les-beaune-2018.jpg;Jaffelin Chorey-les-Beaune 2018;CBB0006;Wino czerwone;121.138211;179;0;1;4
5205;https://dobrewina.pl/1823/p5205-dealberto-finca-valdemoya-rosado-vdlt-castilla-y-leon-075-l.jpg;deAlberto Finca Valdemoya Rosado VdlT Castilla y Leon 0,75 L;OCL0003;Wino różowe;30.000000;46.9;0;1;15
5208;https://dobrewina.pl//p5208-owoce-kaparow-160g.jpg;Owoce Kaparów 160g;DKA305984;Inne specjały;11.900000;11.9;46;0;18
5211;https://dobrewina.pl//p5211-oliwa-green-picual-iloveaceite-05-l.jpg;"Oliwa Green Picual ""iloveaceite"" 0,5 L";KO0002;Oliwy;49.900000;49.9;12;0;21
5216;https://dobrewina.pl//p5216-oliwa-esencial-edycja-limitowana-05-l.jpg;Oliwa eSencial - edycja limitowana 0,5 L;KO0004;Oliwy;79.900000;79.9;3;0;26
5234;https://dobrewina.pl/1922/cuatro-rayas-pampano-verdejo-semidulce-do-rueda-075-l.jpg;Cuatro Rayas Pampano Verdejo Semidulce DO Rueda 0,75 L;OSR003;Wino białe;32.439024;39.9;8;0;42
5236;https://dobrewina.pl/1836/p5236-gran-maestro-appassimento-rosso-puglia-igt-075-l.jpg;Gran Maestro Appassimento Rosso Puglia IGT 0,75 L;OIV0002;Strona główna;40.569106;49.9;0;1;44
5239;https://dobrewina.pl/1843/cortese-piemonte-cascine-radice-doc-075-l.jpg;Cortese Piemonte Cascine Radice DOC 0,75 L;OII002;Wino białe;30.000000;36.9;0;1;47
5241;https://dobrewina.pl/1851/chateau-leoville-barton-saint-julien-2017.jpg;Chateau Leoville Barton Saint-Julien 2017;CME0002;Wino czerwone;438.211382;539;0;1;49
5242;https://dobrewina.pl/1861/p5242-d-ardhuy-ladoix-clos-des-chagnots-monopole-2018.jpg;d'Ardhuy Ladoix Clos des Chagnots Monopole 2018;CBB0026;Wino czerwone;145.528455;179;0;1;50
5247;https://dobrewina.pl/1872/p5247-fourrey-chablis-grand-cru-vaudesir-2020-aoc-075-l.jpg;Fourrey Chablis Grand Cru Vaudesir 2020 AOC 0,75 L;CCH0016;Wino białe;210.569106;299;0;1;51
5259;https://dobrewina.pl/1937/joseph-mellot-pouilly-fume-le-troncsec-075-l.jpg;Joseph Mellot Pouilly Fume Le Troncsec 0,75 L;OFL0003;Wino białe;96.747967;119;0;1;63
5280;https://dobrewina.pl/1910/p5280-chateau-canon-la-gaffeliere-saint-emilion-1er-grand-cru-2017.jpg;Chateau Canon la Gaffeliere Saint-Emilion 1er Grand Cru 2017;CSE0002;Wino czerwone;421.951220;519;0;1;77
5282;https://dobrewina.pl/1913/p5282-chateau-clinet-pomerol-2015.jpg;Chateau Clinet Pomerol 2015;CPO0001;Wino czerwone;665.853659;819;0;1;79
5283;https://dobrewina.pl/1914/p5283-chateau-d-armailhac-pauillac-2016.jpg;Chateau d'Armailhac Pauillac 2016;CME0016;Wino czerwone;324.390244;469;0;1;80
